track,artist,album,id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Ice Ice Baby,Vanilla Ice,Vanilla Ice Is Back! - Hip Hop Classics,3XVozq1aeqsJwpXrEZrDJ9,0.979,0.792,2,-2.784,1,0.0388,7.71e-06,0.102,0.583,116.012,254467,4
Macarena,Los Del Rio,Fiesta Macarena,4oaj36KzXRgDg4McgcTsZK,0.927,0.721,8,-12.561,1,0.0908,4.36e-05,0.0422,0.965,103.018,249382,4
Hold On,Wilson Phillips,Wilson Phillips,4VZDv8sASBS8UruUBGTFdk,0.679,0.657,5,-9.897,1,0.0255,0.0,0.0497,0.546,97.8,266867,4
Would I Lie To You?,Charles & Eddie,Duophonic,21MLFi0ISlqDBp7DQHPi7p,0.547,0.538,11,-11.39,0,0.0567,0.0,0.0369,0.718,202.409,279600,4
End Of The Road,Boyz II Men,Cooleyhighharmony (Bonus Tracks Version),3l3xTXsUXeWlkPqzMs7mPD,0.64,0.427,5,-9.29,0,0.0241,0.0,0.0579,0.529,149.703,351467,3
Wannabe,Spice Girls,Spice,1Je1IMUlBXcx1Fz0WE7oPT,0.768,0.864,11,-6.145,1,0.0324,0.0,0.162,0.891,110.008,173027,4
It's All Coming Back to Me Now,Céline Dion,Falling into You,5EQzuYfTZt7B2LqlvTF49l,0.384,0.438,0,-9.149,1,0.0362,0.0,0.101,0.287,87.903,456867,4
Thunderstruck,AC/DC,The Razors Edge,57bgtoPSgt236HzfBOd8kj,0.502,0.89,4,-5.175,1,0.0364,0.0117,0.217,0.259,133.52,292880,4
Waterfalls,TLC,Crazysexycool,6qspW4YKycviDFjHBOaqUY,0.769,0.505,1,-7.345,1,0.0829,7.49e-05,0.0777,0.757,171.804,279507,4
How Bizarre,OMC,How Bizarre,0wJyFu6JHwUoKQN5X3uzVe,0.783,0.676,0,-7.737,1,0.0469,0.0,0.5,0.824,124.922,224200,4
You Are Not Alone,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",3AoeaZs8dFemFJr3JdzOL0,0.651,0.402,11,-9.303,1,0.028,7.73e-05,0.0765,0.258,119.873,345600,4
Why Does Love Do This To Me,The Exponents,Something Beginning With C,512NFGASHDBSkze8bFTZHp,0.65,0.624,2,-10.106,1,0.0356,0.000479,0.0912,0.573,128.268,205733,4
Never Ever,All Saints,All Saints,7ziHnshbknkpFLDW5yGBjO,0.738,0.541,1,-5.485,1,0.0311,0.0,0.0492,0.309,134.187,387573,4
Keep On Movin',Five,Invincible,2fHruzatznikGKFeL9Gujm,0.742,0.853,7,-7.832,1,0.034,0.0,0.0664,0.963,135.02,198067,4
"Boom, Boom, Boom, Boom!!",Vengaboys,"Boom, Boom, Boom, Boom!!",2Ld2LehpgQNREMxl9LlIzm,0.811,0.935,11,-4.595,0,0.0407,0.411,0.0244,0.968,138.479,202571,4
Life Is A Highway,Tom Cochrane,Mad Mad World (Deluxe),7jIFGkTBIK1UwWaEXMW2Nh,0.683,0.897,5,-3.455,1,0.0465,5.18e-06,0.286,0.752,103.051,266080,4
Unpretty,TLC,Fanmail,0BUoLE4o9eVahDHvTqak67,0.648,0.622,7,-6.063,1,0.0428,5.97e-05,0.109,0.51,88.684,278067,4
November Rain,Guns N' Roses,Use Your Illusion I,3YRCqOhFifThpSRFJ1VWFM,0.294,0.641,11,-9.316,1,0.0291,0.22,0.112,0.226,79.759,536067,4
Step by Step,New Kids On The Block,Step By Step,6J6RWKCPN5RFKHUKEUFjxS,0.787,0.63,0,-12.295,1,0.0609,6.69e-06,0.161,0.882,125.347,267293,4
Killing Me Softly With His Song,Fugees,The Score (Expanded Edition),0Q0IVlqMV64kNLlwjPj0Hl,0.765,0.29,4,-17.117,0,0.139,0.0,0.571,0.506,92.409,298773,4
Joyride,Roxette,Joyride,4wj8ppW6nJ5hYlgfeJNBn2,0.631,0.77,2,-5.315,1,0.0267,0.0,0.481,0.734,102.348,263093,4
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Jon Bon Jovi,Blaze Of Glory,1sUTfgduT0WIQO8kXKXxLC,0.55,0.618,7,-9.822,1,0.0307,2.62e-05,0.0937,0.429,78.61,335240,4
Livin' la Vida Loca,Ricky Martin,Ricky Martin,0Ph6L4l8dYUuXFmb71Ajnd,0.425,0.954,1,-3.756,0,0.0476,0.0,0.0555,0.933,178.043,243160,4
You Gotta Know Remix,Supergroove,Traction,2qCZTUWb5r2yjGgvb0Ttj3,0.696,0.929,7,-8.755,1,0.0728,0.00126,0.277,0.7,115.982,216467,4
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,Let's Talk About Love,33LC84JgLvK2KuW43MfaNq,0.428,0.276,4,-11.729,1,0.0312,5.33e-06,0.117,0.0382,99.195,280000,1
Iris,The Goo Goo Dolls,Dizzy up the Girl,6Qyc6fS4DsZjB2mRW9DsQs,0.315,0.715,11,-8.072,0,0.0362,7.97e-06,0.0942,0.497,155.925,289533,3
Return of the Mack,Mark Morrison,Return of the Mack,3jDdpx9PMlfMBS5tOBHFm9,0.715,0.833,2,-5.379,1,0.108,0.0,0.164,0.612,95.487,213093,4
Wonderwall - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),7ygpwy2qP3NbrxVkHvUhXY,0.375,0.893,2,-4.097,1,0.0406,0.0,0.187,0.434,174.323,258773,4
Heal the World,Michael Jackson,Dangerous,7woW97CfcWaKtuC6W5BP2K,0.545,0.485,9,-8.045,1,0.0485,1.8e-06,0.104,0.101,80.948,384307,4
I Will Always Love You,Whitney Houston,The Bodyguard - Original Soundtrack Album,4eHbdreAnSOrDDsFfc4Fpm,0.332,0.214,4,-12.518,1,0.0349,5.62e-06,0.0839,0.11,67.531,271093,4
The Bad Touch,Bloodhound Gang,Hooray For Boobies,5EYdTPdJD74r9EVZBztqGG,0.831,0.735,0,-6.254,0,0.0384,0.0205,0.123,0.97,122.979,260507,4
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,I Don't Want To Miss A Thing EP,6lEuFGrUqR9Yc6hSsHPnYP,0.39,0.649,2,-5.163,1,0.0345,0.0,0.216,0.144,121.16,299760,4
Gettin' Jiggy Wit It,Will Smith,Big Willie Style,0weAUscowxeqDtpCgtbpgp,0.881,0.874,6,-4.505,1,0.139,1.14e-06,0.154,0.858,107.891,227933,4
That Don't Impress Me Much,Shania Twain,Come On Over,4FUfoWMypAyWbOavmYyeNu,0.757,0.757,1,-7.598,1,0.0389,0.0,0.0474,0.967,124.956,218867,4
Lightning Crashes,Live,Throwing Copper,48iWbsOaBUAGzMdoSmqyg1,0.385,0.433,11,-9.256,1,0.0435,7.07e-06,0.11,0.427,89.974,325600,4
Can You Feel The Love Tonight,Elton John,Love Songs,67HKtdqchK0rmODxsBeWT8,0.297,0.364,10,-9.261,1,0.0305,0.000761,0.0976,0.149,122.598,240000,4
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),4INDiWSKvqSKDEu7mh8HFz,0.845,0.884,6,-4.506,0,0.0759,2.1e-06,0.203,0.904,104.536,257400,4
Better Man,Pearl Jam,Vitalogy,2B98ljvzqpCVgt5reTHq28,0.445,0.671,2,-7.937,1,0.0387,1.56e-05,0.0791,0.267,125.712,268587,4
Cotton Eye Joe,Rednex,Sex & Violins,0Jg602cHeMCnPez9baacIe,0.738,0.937,9,-7.788,0,0.0668,0.00206,0.0338,0.614,131.994,193827,4
Santa Monica,Everclear,Sparkle And Fade,37EJtTS7jT5WUyXGZzrwnI,0.491,0.942,7,-5.333,1,0.132,0.0,0.367,0.387,100.446,191507,4
Say You'll Be There,Spice Girls,Spice,1yTQ39my3MoNROlFw3RDNy,0.726,0.679,1,-6.219,1,0.0473,1.49e-06,0.0837,0.751,107.02,235973,4
Mr. Jones,Counting Crows,August And Everything After,5DiXcVovI0FcY2s0icWWUu,0.578,0.817,0,-6.542,1,0.0363,3.06e-06,0.285,0.726,141.621,272293,4
Come As You Are,Nirvana,Nevermind (Remastered),4P5KoWXOxwuobLmHXLMobV,0.5,0.824,4,-5.846,0,0.0388,0.00161,0.0916,0.539,120.125,218920,4
"What Is Love - 7"" Mix",Haddaway,The Album,2IHaGyfxNoFPLJnaEg4GTs,0.683,0.772,7,-7.907,0,0.0311,0.0149,0.203,0.737,123.871,270373,4
Lemon Tree,Fools Garden,Dish Of The Day,4fXGWiVhlOLdhwRDP6pIFG,0.663,0.475,1,-8.834,1,0.0417,0.0,0.122,0.644,143.175,191027,4
Nothing Compares 2 U,Sinéad O'Connor,I Do Not Want What I Haven't Got,3nvuPQTw2zuFAVuLsC9IYQ,0.511,0.574,5,-7.016,1,0.0273,2.33e-05,0.105,0.161,119.917,280040,4
All That She Wants,Ace of Base,The Sign,6kWJvPfC4DgUpRsXKNa9z9,0.798,0.625,11,-9.689,1,0.0548,7.98e-05,0.103,0.858,93.764,211213,4
All My Life,K-Ci & JoJo,Love Always,5GorFaKkP2mLREQvhSblIg,0.629,0.511,1,-8.651,1,0.0326,3.91e-06,0.0588,0.181,128.038,331240,4
"Rhythm Is A Dancer - 7"" Edit",SNAP!,The Madman's Return,4RADreHMvMkZwsPgPr9z5c,0.794,0.745,9,-11.367,0,0.037,0.000414,0.143,0.706,124.249,225882,4
Got the Feelin' - Radio Edit,Five,5ive,0HjeuAy5DCzkwmODn3tYpT,0.762,0.852,0,-7.088,1,0.115,0.0,0.128,0.851,98.562,208360,4
Praise You - Radio Edit,Fatboy Slim,The Greatest Hits: Why Try Harder,21RDsw7wzUJNl2FbWTgEfJ,0.621,0.885,1,-6.826,1,0.0473,0.492,0.133,0.554,109.728,227973,4
S Club Party,S Club 7,S Club,21ixeD8mGouF993kgb4MER,0.638,0.879,6,-6.534,0,0.0425,0.0,0.414,0.778,101.999,210467,4
Angels,Robbie Williams,The Ego Has Landed,7fH9ZS8gezOtky5bkYHvCN,0.437,0.586,4,-6.708,1,0.0274,3.13e-06,0.0996,0.252,150.14,265733,4
Mustang Sally,The Commitments,The Commitments,1XlCCgKKrQQfXaDyv4GrZe,0.744,0.735,1,-10.766,1,0.0587,0.0,0.0564,0.891,115.062,241867,4
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,Europop,2yAVzRiEQooPEJ9SYx11L3,0.822,0.969,7,-11.471,0,0.0582,0.000153,0.39,0.765,128.007,283748,4
Two Princes,Spin Doctors,Pocket Full Of Kryptonite,4ePP9So5xRzspjLFVVbj90,0.543,0.912,7,-10.71,1,0.0601,2.1e-06,0.0565,0.836,103.731,256733,4
2 Become 1,Spice Girls,Spice,36AWdhZIGLUTkWpJDhe7va,0.646,0.665,6,-7.878,1,0.0268,1.97e-05,0.238,0.7,143.966,241027,4
Wrong Way,Sublime,Sublime,2PdIo7ewQPuAsP99LVg9uy,0.69,0.681,9,-5.653,1,0.0379,0.0,0.137,0.911,75.034,136147,4
Give Me One Reason,Tracy Chapman,New Beginning,4vDBJeeQCbhP9FaPPMsYkY,0.608,0.419,11,-10.016,1,0.0331,7.58e-06,0.108,0.602,100.22,268333,4
Sunchyme - Radio Edit,Dario G,Sunchyme,5vNvbqy0OI3wG5MFeC0Qkq,0.675,0.895,9,-8.111,1,0.0537,0.451,0.158,0.444,132.997,237133,4
Walkin' On The Sun,Smash Mouth,Fush Yu Mang (20th Anniversary Edition),4TQeNHx85xcP9YRkvJC6K1,0.745,0.972,6,-5.598,1,0.0316,0.0,0.148,0.968,123.067,207787,4
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,Unplugged (Deluxe Edition),612VcBshQcy4mpB2utGc3H,0.695,0.336,9,-12.999,1,0.0313,0.00264,0.701,0.422,79.109,280000,4
Free Fallin',Tom Petty,Full Moon Fever,5tVA6TkbaAH9QMITTQRrNv,0.623,0.449,5,-13.333,1,0.0253,0.0,0.0613,0.572,84.383,256000,4
Moving on Up,M People,The Best Of M People,6vGW3d8X48CBaLdU0PQbey,0.899,0.857,0,-6.128,0,0.037,0.0299,0.112,0.961,125.072,215533,4
Larger Than Life,Backstreet Boys,Millennium,6sbXGUn9V9ZaLwLdOfpKRE,0.661,0.973,0,-2.994,0,0.037,1.74e-05,0.617,0.75,108.037,232827,4
Walking in Memphis,Marc Cohn,Marc Cohn,5fgkjhICZnqFctrV0AyuQD,0.567,0.512,0,-8.831,1,0.0357,0.0,0.296,0.334,130.271,252613,4
The Rhythm of the Night,Corona,Rhythm Of The Night,5IPJsGFKtxKDPCkT8lhEjN,0.688,0.782,5,-12.291,0,0.034,0.666,0.0955,0.77,127.822,264307,4
Everybody Get Up - Radio Edit,Five,Let's Dance,0WGn8xhpPumX73lECUY5Yo,0.724,0.867,0,-5.913,1,0.08,0.0,0.135,0.681,96.015,183733,4
When I Come Around,Green Day,Dookie,1Dr1fXbc2IxaK1Mu8P8Khz,0.531,0.909,11,-4.236,1,0.034,0.0,0.231,0.814,97.546,178000,4
"Men In Black - From ""Men In Black"" Soundtrack",Will Smith,Big Willie Style,2FK7fxjzQEXD7Z32HSF0Hl,0.801,0.581,5,-8.491,0,0.0681,0.000318,0.0971,0.656,107.545,227267,4
You Oughta Know - 2015 Remaster,Alanis Morissette,Jagged Little Pill (2015 Remaster),3jS7bB0oXVOwGFZn3aE5NV,0.665,0.834,4,-7.737,1,0.0576,0.0,0.452,0.411,105.292,249493,4
Show Me Love - Radio Version,Robyn,Robyn Is Here,6SluaPiV04KOaRTOIScoff,0.546,0.643,6,-4.069,0,0.0437,0.0,0.213,0.704,181.838,229227,4
"Girl, You'll Be a Woman Soon",Urge Overkill,Stull,1mSzuXVjjKC0bPh6iG6xjy,0.514,0.584,5,-13.049,1,0.042,0.000183,0.205,0.557,114.145,189627,4
High,Lighthouse Family,Postcards From Heaven,7zB3ZhA5v33pA4rCdKKGqq,0.664,0.622,10,-8.505,1,0.0253,0.0738,0.112,0.614,102.342,310333,4
Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),31AOj9sFz2gM0O3hMARRBx,0.666,0.855,9,-5.051,0,0.0295,1.2e-06,0.0987,0.803,125.639,268427,4
"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion,Falling into You,28UMiBhn383n9S7GL4tsxD,0.615,0.467,1,-9.883,1,0.0327,0.0,0.099,0.177,119.919,273667,4
Bitch,Meredith Brooks,Blurring The Edges,3i6qNxyVgIdUZTTi5m25EM,0.617,0.886,9,-5.953,1,0.055,9.63e-05,0.0523,0.629,96.328,252760,4
Streets of Philadelphia - Single Edit,Bruce Springsteen,Greatest Hits,3fbnbn6A5O5RNb08tlUEgd,0.741,0.29,5,-13.251,1,0.0302,0.118,0.0924,0.443,93.699,195080,4
Back for Good - Radio Mix,Take That,Nobody Else (Expanded Edition),6vcdzohhBSbNdsZBh5IRpQ,0.601,0.504,5,-9.761,1,0.0284,0.0,0.137,0.564,78.986,242267,4
Pretty Fly (For A White Guy),The Offspring,Americana,3SFXsFpeGmBTtQvKiwYMDA,0.723,0.895,11,-3.707,0,0.102,0.0,0.0717,0.963,143.373,188667,4
Kiss from a Rose,Seal,Seal,3YKptz29AsOlm7WAVnztBh,0.584,0.533,10,-7.11,0,0.0305,0.0,0.306,0.224,131.745,288427,3
Closing Time,Semisonic,20th Century Masters: The Millennium Collection: Best Of Semisonic,1A5V1sxyCLpKJezp75tUXn,0.478,0.854,7,-5.454,1,0.0289,1.21e-06,0.115,0.274,91.854,274160,4
California Love - Original Version,2Pac,Greatest Hits,3ia3dJETSOllPsv3LJkE35,0.763,0.85,7,-3.052,1,0.0417,1.21e-06,0.371,0.761,91.519,284907,4
"Baby, Baby",Amy Grant,Heart In Motion,3IDsegNBHC4pjGCOMTQYlU,0.702,0.901,1,-4.45,1,0.0264,0.00153,0.0368,0.919,97.862,236973,4
All I Wanna Do,Sheryl Crow,Tuesday Night Music Club,3ZpQiJ78LKINrW9SQTgbXd,0.82,0.528,9,-11.179,1,0.0321,0.0186,0.257,0.931,120.091,272107,4
Bitter Sweet Symphony,The Verve,Urban Hymns (Remastered 2016),57iDDD9N9tTWe75x6qhStw,0.356,0.917,9,-6.006,1,0.0479,0.0,0.406,0.518,171.176,357267,4
Believe,Cher,Believe,2goLsvvODILDzeeiT4dAoR,0.652,0.917,6,-6.72,1,0.0548,0.0,0.0509,0.459,132.975,239027,4
Everybody Hurts,R.E.M.,Automatic For The People,6PypGyiu0Y2lCDBN1XZEnP,0.467,0.324,2,-10.451,1,0.0255,0.0248,0.118,0.166,94.301,320267,3
What's Up?,4 Non Blondes,"Bigger, Better, Faster, More !",0jWgAnTrNZmOGmqgvHhZEm,0.565,0.564,2,-10.044,1,0.0292,0.0,0.114,0.454,134.355,295533,4
Here Comes The Hotstepper - Heartical Mix,Ini Kamoze,Here Comes The Hotstepper,3DWS2ZgcoQgfFm7uEnzYMI,0.888,0.462,7,-8.615,1,0.205,0.000218,0.301,0.435,100.352,250427,4
Let Me Entertain You,Robbie Williams,The Ego Has Landed,76SFcrLi5d60pHrzfvSjsJ,0.464,0.963,10,-5.019,1,0.0662,0.00215,0.0901,0.37,125.085,261133,4
Stop,Spice Girls,Spiceworld,3FteycP8CaXS1MhjcXekVT,0.722,0.845,2,-4.446,0,0.0308,0.0,0.0561,0.965,130.13,204754,4
Lovefool,The Cardigans,First Band On The Moon (Remastered),7aQjPecQdIuNd1sz3KCDhD,0.704,0.636,9,-6.029,1,0.0252,0.0,0.35,0.89,111.845,193953,4
Informer,Snow,12 Inches Of Snow,2LjiPAQOVazT8sRyXL3XRs,0.763,0.742,6,-10.975,0,0.188,0.0,0.38,0.483,98.145,268910,4
Dreamlover,Mariah Carey,Music Box,6HcQZfMrw3KwGyzrKw1Pjy,0.701,0.705,5,-6.18,1,0.0357,0.0,0.141,0.71,100.669,232960,4
1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),5QLHGv0DfpeXLNFo7SFEy1,0.767,0.787,3,-9.897,1,0.0331,0.583,0.0513,0.964,126.879,266200,4
As Long as You Love Me,Backstreet Boys,Backstreet Boys,00WvmRXTkPBZNhhRK3xfdy,0.775,0.816,0,-5.534,1,0.0281,0.0,0.126,0.753,98.219,214333,4
Mmm Mmm Mmm Mmm,Crash Test Dummies,God Shuffled His Feet,76nvqWPFucUra1xCkN1tnD,0.58,0.575,3,-7.72,1,0.0231,1.83e-05,0.0813,0.37,92.934,235173,4
I Know,Dionne Farris,Wild Seed - Wild Flower,698R7h4SU5zyNil1iReHAX,0.589,0.962,7,-6.815,1,0.181,0.00225,0.242,0.503,103.396,227827,4
Champagne Supernova - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),2A7GGXmTlXuH9LOvBXgOX4,0.293,0.817,2,-3.786,1,0.039,0.0509,0.355,0.138,150.249,451320,4
I Believe I Can Fly,R. Kelly,R.,2RzJwBCXsS1VnjDm2jKKAa,0.55,0.444,7,-7.588,1,0.0292,0.0,0.187,0.0438,120.179,320667,4
No Rain,Blind Melon,Blind Melon,6txWz9UapYHVxEd7dDIHXT,0.389,0.476,9,-9.342,1,0.0316,5.09e-05,0.255,0.566,148.117,217107,4
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,It Must Have Been Love,6kvoHl80mfCVTv7XnZkjQn,0.52,0.652,5,-6.655,1,0.0274,5.49e-05,0.256,0.722,80.609,258787,4
Spiderwebs,No Doubt,Tragic Kingdom,4ZD6SiaJi75smnel0d7jl3,0.49,0.852,10,-7.192,1,0.0502,2.21e-06,0.126,0.663,143.248,266760,4
Doctor Jones,Aqua,Aquarium,4cQ4uc9psVcYC2S89nd7JG,0.709,0.911,0,-6.801,0,0.059,0.000118,0.0674,0.453,139.978,203293,4
Learn to Fly,Foo Fighters,There Is Nothing Left To Lose,5OQsiBsky2k2kDKy2bX2eT,0.465,0.919,4,-4.025,1,0.0408,2.07e-05,0.262,0.537,135.997,235293,4
Sun Is Shining,Bob Marley & The Wailers,Kaya,2pZJhvpin385eqAFRp3ASJ,0.785,0.562,10,-7.784,0,0.0514,9.36e-05,0.0456,0.614,129.024,298507,4
The Freshmen,The Verve Pipe,Villains,21jEuMn2lf37715rwjow2M,0.571,0.505,1,-9.312,0,0.0238,1.04e-05,0.109,0.276,99.562,269467,4
Crush,Jennifer Paige,Jennifer Paige,6YXWauQKn5nQVhcC4KVplQ,0.733,0.706,1,-5.652,0,0.0292,0.0,0.0881,0.598,115.04,199960,4
We like to Party! (The Vengabus) Six Flags,Vengaboys,We like to Party! (The Vengabus),77j9HOrxUpWcjwra9jgvio,0.785,0.931,8,-4.813,1,0.0465,0.637,0.0459,0.969,135.986,222459,4
Little Miss Can't Be Wrong,Spin Doctors,Pocket Full Of Kryptonite (Anniversary Edition),1uCqIhOePc6hDMG2ijk8sp,0.515,0.903,0,-8.832,1,0.0443,0.0218,0.38,0.927,116.44,232720,4
Are You Gonna Go My Way,Lenny Kravitz,Are You Gonna Go My Way,45Ia1U4KtIjAPPU7Wv1Sea,0.619,0.67,11,-10.322,0,0.0353,0.0109,0.331,0.777,129.269,211933,4
"No Woman, No Cry",Fugees,The Score (Expanded Edition),5bUVHuzQh5mkvMPjUU074i,0.846,0.326,0,-13.909,1,0.152,3.97e-05,0.28,0.367,88.988,273093,4
(Lover) You Don't Treat Me No Good (Live),Sonia Dada,Lay Down and Love It Live,62CkEkHNW82sKhZfG6APMl,0.768,0.496,4,-12.297,1,0.11,0.0,0.758,0.941,115.211,245493,4
Mrs. Robinson - Remastered,The Lemonheads,It's A Shame About Ray (Expanded Edition),5EugXICXL06waHgP4iTI58,0.494,0.936,11,-7.195,0,0.0398,0.000693,0.276,0.834,107.543,224480,4
Finally,CeCe Peniston,Finally,0uqvSVhGgQTIdj9G51vhvv,0.791,0.658,7,-11.128,1,0.0445,0.0,0.0472,0.842,120.066,245000,4
Sex & Candy,Marcy Playground,Marcy Playground,5mkGfmJGFZpwK9nA5amOhv,0.67,0.558,2,-9.159,1,0.0251,0.0,0.106,0.63,80.511,173493,4
Brimful Of Asha - Norman Cook Remix Single Version,Fatboy Slim,The Greatest Hits: Why Try Harder,6gbdLLUhocAjThL3GvV6Lx,0.662,0.948,11,-3.007,1,0.0586,0.0,0.118,0.934,125.663,240933,4
Sweetest Thing,U2,The Joshua Tree (Super Deluxe),7ndGFo9nZ108KPgXtfYWCe,0.524,0.641,0,-8.967,1,0.0497,2.78e-05,0.159,0.482,141.65,184543,4
Breathe Again,Toni Braxton,Toni Braxton,1xFliXOpcu7E89AsDAZ7JV,0.689,0.677,0,-6.36,1,0.0326,0.0,0.0877,0.259,153.922,269173,4
Weather With You,Crowded House,Woodface,6tXnRSvuNgOq4QcxpIN54r,0.643,0.614,2,-12.878,1,0.0279,7.17e-06,0.214,0.891,93.982,224467,4
Right Here Right Now,Jesus Jones,Doubt,3fcGGP62sllcNEhuFJVYeC,0.657,0.608,2,-13.565,1,0.0287,3.45e-06,0.103,0.723,106.862,189293,4
Damn I Wish I Was Your Lover,Sophie B. Hawkins,Tongues And Tails,7kmfQ2QHwGqRCxVHDv5mzo,0.546,0.781,11,-9.439,0,0.0506,1.51e-05,0.363,0.539,95.032,323267,4
Shine,Collective Soul,"Hints, Allegations & Things Left Unsaid",77YKoNCjP5hWqiXMRG2839,0.543,0.423,6,-8.797,1,0.0282,0.0862,0.152,0.355,150.132,306040,4
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,Unplugged (Deluxe Edition),3BEZCNZSmVv30vsMNSOCri,0.558,0.524,2,-11.626,0,0.0459,0.000952,0.94,0.636,93.654,289027,4
She Talks To Angels,The Black Crowes,Shake Your Money Maker,5NK8jad728pj6YeqM5VJD4,0.584,0.521,4,-5.782,1,0.0295,7.56e-05,0.22,0.317,160.058,329400,4
Stay,Shakespears Sister,Hormonally Yours (Remastered and Expanded),51YxkVZOPfnBqTHCnK1AU3,0.494,0.658,8,-5.84,1,0.0487,4.11e-05,0.0907,0.19,96.73,229000,4
Fly,Sugar Ray,Floored,3uPfVXcjnpOjyzI3jb3js4,0.835,0.648,1,-8.15,1,0.0488,0.225,0.308,0.674,99.701,244640,4
